Degree_ID,Degree_Payment_ID,Degree_Pay_IntakeID,Degree_Payment_AddByID,Degree_Payment_Year,Degree_Payment_Amount,Degree_Payment_TimeStamp,Degree_Payment_IsDeleted
14,1222,20,1,1,1200000.00,2018-12-05 11:05:58,0
14,1223,20,1,2,1000000.00,2018-12-05 11:05:58,0
14,1224,20,1,3,1000000.00,2018-12-05 11:06:15,0
15,1225,20,1,1,1200000.00,2018-12-05 11:07:16,0
15,1226,20,1,2,1000000.00,2018-12-05 11:07:16,0
15,1227,20,1,3,1000000.00,2018-12-05 11:07:32,0
16,1228,20,1,1,800000.00,2018-12-05 10:41:07,0
16,1229,20,1,2,800000.00,2018-12-05 10:41:07,0
16,1230,20,1,3,800000.00,2018-12-05 10:42:51,0
16,1231,20,1,4,800000.00,2018-12-05 10:42:51,0
17,1232,20,1,1,800000.00,2018-12-05 10:43:57,0
17,1233,20,1,2,800000.00,2018-12-05 10:43:57,0
17,1234,20,1,3,800000.00,2018-12-05 10:44:36,0
17,1235,20,1,4,800000.00,2018-12-05 10:44:36,0
18,1236,20,1,1,800000.00,2018-12-05 10:45:33,0
18,1237,20,1,2,800000.00,2018-12-05 10:45:33,0
18,1238,20,1,3,800000.00,2018-12-05 10:46:55,0
18,1239,20,1,4,800000.00,2018-12-05 10:46:55,0
19,1240,20,1,1,800000.00,2018-12-05 10:48:15,0
19,1241,20,1,2,800000.00,2018-12-05 10:48:15,0
19,1242,20,1,3,800000.00,2018-12-05 10:49:06,0
19,1243,20,1,4,800000.00,2018-12-05 10:49:06,0
20,1244,20,1,1,1000000.00,2018-12-05 10:52:52,0
20,1245,20,1,2,1000000.00,2018-12-05 10:52:52,0
20,1246,20,1,3,1000000.00,2018-12-05 10:53:13,0
21,1247,20,1,1,900000.00,2018-12-05 10:30:24,0
21,1248,20,1,2,900000.00,2018-12-05 10:30:24,0
21,1249,20,1,3,840000.00,2018-12-05 10:32:54,0
21,1250,20,1,4,840000.00,2018-12-05 10:32:54,0
22,1251,20,1,1,1100000.00,2018-12-05 10:45:00,0
22,1252,20,1,2,1100000.00,2018-12-05 10:45:00,0
22,1253,20,1,3,1100000.00,2018-12-05 10:45:56,0
23,1254,20,1,1,1200000.00,2018-12-05 10:52:26,0
23,1255,20,1,2,1000000.00,2018-12-05 10:53:22,0
23,1256,20,1,3,1000000.00,2018-12-05 10:53:55,0
24,1257,20,1,1,1200000.00,2018-12-05 11:02:17,0
24,1258,20,1,2,1000000.00,2018-12-05 10:57:10,0
24,1259,20,1,3,1000000.00,2018-12-05 11:02:11,0
25,1260,20,1,1,1200000.00,2018-12-05 10:59:47,0
25,1261,20,1,2,1000000.00,2018-12-05 10:59:47,0
25,1262,20,1,3,1000000.00,2018-12-05 11:00:13,0
26,1263,20,1,1,1200000.00,2018-12-05 10:56:42,0
26,1264,20,1,2,1200000.00,2018-12-05 10:56:42,0
26,1265,20,1,3,1200000.00,2018-12-05 10:57:15,0
26,1266,20,1,4,1200000.00,2018-12-05 10:57:15,0
27,1267,20,1,1,600000.00,2018-12-05 11:08:10,0
28,1268,20,1,1,250000.00,2019-05-08 14:35:36,0
28,1269,20,1,2,250000.00,2019-05-08 14:35:36,0
28,1270,20,1,3,250000.00,2019-05-08 14:37:14,0
28,1271,20,1,4,250000.00,2019-05-08 14:37:14,0
29,1272,20,1,1,200000.00,2019-05-08 14:38:27,0
29,1273,20,1,2,200000.00,2019-05-08 14:38:27,0
30,1274,20,1,1,200000.00,2019-05-08 14:39:52,0
30,1275,20,1,2,200000.00,2019-05-08 14:39:52,0
31,1276,20,1,1,200000.00,2019-05-08 14:29:36,0
31,1277,20,1,2,200000.00,2019-05-08 14:29:36,0
32,1278,20,1,1,200000.00,2019-05-08 14:41:53,0
32,1279,20,1,2,200000.00,2019-05-08 14:41:53,0
33,1280,20,1,1,200000.00,2019-05-14 13:46:38,0
33,1281,20,1,2,200000.00,2019-05-14 13:46:41,0
33,1282,20,1,3,200000.00,2019-05-14 13:46:43,0
33,1283,20,1,4,200000.00,2019-05-14 13:46:46,0
34,1284,20,1,1,1000000.00,2018-12-05 10:54:42,0
34,1285,20,1,2,1000000.00,2018-12-05 10:54:42,0
34,1286,20,1,3,1000000.00,2018-12-05 10:54:59,0
41,1287,20,1,1,250000.00,2019-05-08 14:43:49,0
41,1288,20,1,2,250000.00,2019-05-08 14:43:49,0
45,1289,20,1,1,800000.00,2019-04-08 11:34:25,0
45,1290,20,1,2,400000.00,2019-04-08 11:34:49,0
45,1291,20,1,3,200000.00,2019-04-08 11:35:24,0
45,1292,20,1,4,200000.00,2019-04-08 11:35:47,0
46,1293,20,1,1,800000.00,2019-04-08 11:36:20,0
46,1294,20,1,2,400000.00,2019-04-08 11:36:37,0
46,1295,20,1,3,200000.00,2019-04-08 11:36:58,0
46,1296,20,1,4,200000.00,2019-04-08 11:37:16,0
47,1297,20,1,1,600000.00,2019-04-08 11:38:08,0
47,1298,20,1,2,300000.00,2019-04-08 11:38:39,0
47,1299,20,1,3,300000.00,2019-04-08 11:39:07,0
48,1300,20,1,1,600000.00,2019-04-08 11:39:42,0
48,1301,20,1,2,300000.00,2019-04-08 11:40:10,0
48,1302,20,1,3,300000.00,2019-04-08 11:40:36,0
49,1303,20,1,1,600000.00,2019-04-08 11:59:02,0
49,1304,20,1,2,300000.00,2019-04-08 11:59:23,0
49,1305,20,1,3,300000.00,2019-04-08 11:59:42,0
50,1306,20,1,1,800000.00,2019-06-13 14:26:50,0
50,1307,20,1,2,800000.00,2019-06-13 14:26:50,0
50,1308,20,1,3,800000.00,2019-06-13 14:26:50,0
50,1309,20,1,4,800000.00,2019-06-13 14:26:50,0
52,1310,20,1,1,900000.00,2019-07-12 00:33:49,0
52,1311,20,1,2,900000.00,2019-07-12 00:33:49,0
52,1312,20,1,3,900000.00,2019-07-12 00:33:49,0
52,1313,20,1,4,900000.00,2019-07-12 00:33:49,0
53,1314,20,1,1,1200000.00,2018-12-05 10:56:42,0
53,1315,20,1,2,1200000.00,2018-12-05 10:56:42,0
53,1316,20,1,3,1200000.00,2018-12-05 10:57:15,0
53,1317,20,1,4,1200000.00,2018-12-05 10:57:15,0
54,1318,20,1,1,1200000.00,2018-12-05 10:56:42,0
54,1319,20,1,2,1200000.00,2018-12-05 10:56:42,0
54,1320,20,1,3,1200000.00,2018-12-05 10:57:15,0
54,1321,20,1,4,1200000.00,2018-12-05 10:57:15,0
1,1458,23,1,1,800000.00,2018-12-05 10:33:04,0
1,1459,23,1,2,800000.00,2018-12-05 10:33:04,0
1,1460,23,1,3,800000.00,2018-12-05 10:35:24,0
1,1461,23,1,4,800000.00,2018-12-05 10:35:24,0
5,1462,23,1,1,800000.00,2018-12-05 10:37:57,0
5,1463,23,1,2,800000.00,2018-12-05 10:37:57,0
5,1464,23,1,3,800000.00,2018-12-05 10:39:01,0
5,1465,23,1,4,800000.00,2018-12-05 10:39:01,0
6,1466,23,1,1,1000000.00,2018-12-05 10:51:08,0
6,1467,23,1,2,1000000.00,2018-12-05 10:51:08,0
6,1468,23,1,3,1000000.00,2018-12-05 10:51:32,0
7,1469,23,1,1,900000.00,2018-12-05 10:35:43,0
7,1470,23,1,2,900000.00,2018-12-05 10:35:43,0
7,1471,23,1,3,840000.00,2018-12-05 10:37:17,0
7,1472,23,1,4,840000.00,2018-12-05 10:37:17,0
8,1473,23,1,1,900000.00,2018-12-05 10:39:43,0
8,1474,23,1,2,900000.00,2018-12-05 10:39:43,0
8,1475,23,1,3,840000.00,2018-12-05 10:41:28,0
8,1476,23,1,4,840000.00,2018-12-05 10:41:28,0
9,1477,23,1,1,1100000.00,2018-12-05 10:48:05,0
9,1478,23,1,2,1100000.00,2018-12-05 10:48:05,0
9,1479,23,1,3,1100000.00,2018-12-05 10:48:24,0
10,1480,23,1,1,1200000.00,2018-12-05 11:01:12,0
10,1481,23,1,2,1000000.00,2018-12-05 11:01:12,0
10,1482,23,1,3,1000000.00,2018-12-05 11:01:56,0
11,1483,23,1,1,1200000.00,2018-12-05 11:03:05,0
11,1484,23,1,2,1000000.00,2018-12-05 11:03:05,0
11,1485,23,1,3,1000000.00,2018-12-05 11:03:30,0
12,1486,23,1,1,1200000.00,2018-12-05 11:04:08,0
12,1487,23,1,2,1000000.00,2018-12-05 11:04:08,0
12,1488,23,1,3,1000000.00,2018-12-05 11:04:20,0
13,1489,23,1,1,1200000.00,2018-12-05 11:05:04,0
13,1490,23,1,2,1000000.00,2018-12-05 11:05:04,0
13,1491,23,1,3,1000000.00,2018-12-05 11:05:18,0
14,1492,23,1,1,1200000.00,2018-12-05 11:05:58,0
14,1493,23,1,2,1000000.00,2018-12-05 11:05:58,0
14,1494,23,1,3,1000000.00,2018-12-05 11:06:15,0
15,1495,23,1,1,1200000.00,2018-12-05 11:07:16,0
15,1496,23,1,2,1000000.00,2018-12-05 11:07:16,0
15,1497,23,1,3,1000000.00,2018-12-05 11:07:32,0
16,1498,23,1,1,800000.00,2018-12-05 10:41:07,0
16,1499,23,1,2,800000.00,2018-12-05 10:41:07,0
16,1500,23,1,3,800000.00,2018-12-05 10:42:51,0
16,1501,23,1,4,800000.00,2018-12-05 10:42:51,0
17,1502,23,1,1,800000.00,2018-12-05 10:43:57,0
17,1503,23,1,2,800000.00,2018-12-05 10:43:57,0
17,1504,23,1,3,800000.00,2018-12-05 10:44:36,0
17,1505,23,1,4,800000.00,2018-12-05 10:44:36,0
18,1506,23,1,1,800000.00,2018-12-05 10:45:33,0
18,1507,23,1,2,800000.00,2018-12-05 10:45:33,0
18,1508,23,1,3,800000.00,2018-12-05 10:46:55,0
18,1509,23,1,4,800000.00,2018-12-05 10:46:55,0
19,1510,23,1,1,800000.00,2018-12-05 10:48:15,0
19,1511,23,1,2,800000.00,2018-12-05 10:48:15,0
19,1512,23,1,3,800000.00,2018-12-05 10:49:06,0
19,1513,23,1,4,800000.00,2018-12-05 10:49:06,0
20,1514,23,1,1,1000000.00,2018-12-05 10:52:52,0
20,1515,23,1,2,1000000.00,2018-12-05 10:52:52,0
20,1516,23,1,3,1000000.00,2018-12-05 10:53:13,0
21,1517,23,1,1,900000.00,2018-12-05 10:30:24,0
21,1518,23,1,2,900000.00,2018-12-05 10:30:24,0
21,1519,23,1,3,840000.00,2018-12-05 10:32:54,0
21,1520,23,1,4,840000.00,2018-12-05 10:32:54,0
22,1521,23,1,1,1100000.00,2018-12-05 10:45:00,0
22,1522,23,1,2,1100000.00,2018-12-05 10:45:00,0
22,1523,23,1,3,1100000.00,2018-12-05 10:45:56,0
23,1524,23,1,1,1200000.00,2018-12-05 10:52:26,0
23,1525,23,1,2,1000000.00,2018-12-05 10:53:22,0
23,1526,23,1,3,1000000.00,2018-12-05 10:53:55,0
24,1527,23,1,1,1200000.00,2018-12-05 11:02:17,0
24,1528,23,1,2,1000000.00,2018-12-05 10:57:10,0
24,1529,23,1,3,1000000.00,2018-12-05 11:02:11,0
25,1530,23,1,1,1200000.00,2018-12-05 10:59:47,0
25,1531,23,1,2,1000000.00,2018-12-05 10:59:47,0
25,1532,23,1,3,1000000.00,2018-12-05 11:00:13,0
26,1533,23,1,1,1200000.00,2018-12-05 10:56:42,0
26,1534,23,1,2,1200000.00,2018-12-05 10:56:42,0
26,1535,23,1,3,1200000.00,2018-12-05 10:57:15,0
26,1536,23,1,4,1200000.00,2018-12-05 10:57:15,0
27,1537,23,1,1,600000.00,2018-12-05 11:08:10,0
28,1538,23,1,1,250000.00,2019-05-08 14:35:36,0
28,1539,23,1,2,250000.00,2019-05-08 14:35:36,0
28,1540,23,1,3,250000.00,2019-05-08 14:37:14,0
28,1541,23,1,4,250000.00,2019-05-08 14:37:14,0
29,1542,23,1,1,200000.00,2019-05-08 14:38:27,0
29,1543,23,1,2,200000.00,2019-05-08 14:38:27,0
30,1544,23,1,1,200000.00,2019-05-08 14:39:52,0
30,1545,23,1,2,200000.00,2019-05-08 14:39:52,0
31,1546,23,1,1,200000.00,2019-05-08 14:29:36,0
31,1547,23,1,2,200000.00,2019-05-08 14:29:36,0
32,1548,23,1,1,200000.00,2019-05-08 14:41:53,0
32,1549,23,1,2,200000.00,2019-05-08 14:41:53,0
33,1550,23,1,1,200000.00,2019-05-14 13:46:38,0
33,1551,23,1,2,200000.00,2019-05-14 13:46:41,0
33,1552,23,1,3,200000.00,2019-05-14 13:46:43,0
33,1553,23,1,4,200000.00,2019-05-14 13:46:46,0
34,1554,23,1,1,1000000.00,2018-12-05 10:54:42,0
34,1555,23,1,2,1000000.00,2018-12-05 10:54:42,0
34,1556,23,1,3,1000000.00,2018-12-05 10:54:59,0
41,1557,23,1,1,250000.00,2019-05-08 14:43:49,0
41,1558,23,1,2,250000.00,2019-05-08 14:43:49,0
45,1559,23,1,1,800000.00,2019-04-08 11:34:25,0
45,1560,23,1,2,400000.00,2019-04-08 11:34:49,0
45,1561,23,1,3,200000.00,2019-04-08 11:35:24,0
45,1562,23,1,4,200000.00,2019-04-08 11:35:47,0
46,1563,23,1,1,800000.00,2019-04-08 11:36:20,0
46,1564,23,1,2,400000.00,2019-04-08 11:36:37,0
46,1565,23,1,3,200000.00,2019-04-08 11:36:58,0
46,1566,23,1,4,200000.00,2019-04-08 11:37:16,0
47,1567,23,1,1,600000.00,2019-04-08 11:38:08,0
47,1568,23,1,2,300000.00,2019-04-08 11:38:39,0
47,1569,23,1,3,300000.00,2019-04-08 11:39:07,0
48,1570,23,1,1,600000.00,2019-04-08 11:39:42,0
48,1571,23,1,2,300000.00,2019-04-08 11:40:10,0
48,1572,23,1,3,300000.00,2019-04-08 11:40:36,0
49,1573,23,1,1,600000.00,2019-04-08 11:59:02,0
49,1574,23,1,2,300000.00,2019-04-08 11:59:23,0
49,1575,23,1,3,300000.00,2019-04-08 11:59:42,0
50,1576,23,1,1,800000.00,2019-06-13 14:26:50,0
50,1577,23,1,2,800000.00,2019-06-13 14:26:50,0
50,1578,23,1,3,800000.00,2019-06-13 14:26:50,0
50,1579,23,1,4,800000.00,2019-06-13 14:26:50,0
52,1580,23,1,1,900000.00,2019-07-12 00:33:49,0
52,1581,23,1,2,900000.00,2019-07-12 00:33:49,0
52,1582,23,1,3,900000.00,2019-07-12 00:33:49,0
52,1583,23,1,4,900000.00,2019-07-12 00:33:49,0
53,1584,23,1,1,1200000.00,2018-12-05 10:56:42,0
53,1585,23,1,2,1200000.00,2018-12-05 10:56:42,0
53,1586,23,1,3,1200000.00,2018-12-05 10:57:15,0
53,1587,23,1,4,1200000.00,2018-12-05 10:57:15,0
54,1588,23,1,1,1200000.00,2018-12-05 10:56:42,0
54,1589,23,1,2,1200000.00,2018-12-05 10:56:42,0
54,1590,23,1,3,1200000.00,2018-12-05 10:57:15,0
54,1591,23,1,4,1200000.00,2018-12-05 10:57:15,0
65,1592,23,1,1,800000.00,2020-11-14 07:58:00,0
65,1593,23,1,2,800000.00,2020-11-14 07:58:06,0
65,1594,23,1,3,800000.00,2020-11-14 07:58:07,0
65,1595,23,1,4,800000.00,2020-11-14 07:58:08,0
15,1597,10,1,1,1000000.00,2020-11-24 17:21:13,0
15,1598,10,1,2,1000000.00,2020-11-24 17:21:13,0
15,1599,10,1,3,1000000.00,2020-11-24 17:21:12,0
1,1601,24,0,1,900000.00,2021-02-01 16:17:52,0
1,1602,24,0,2,900000.00,2021-02-01 16:17:52,0
1,1603,24,0,3,900000.00,2021-02-01 16:17:52,0
1,1604,24,0,4,900000.00,2021-02-01 16:17:52,0
5,1605,24,0,1,900000.00,2021-02-01 16:17:52,0
5,1606,24,0,2,900000.00,2021-02-01 16:17:52,0
5,1607,24,0,3,900000.00,2021-02-01 16:17:52,0
5,1608,24,0,4,900000.00,2021-02-01 16:17:52,0
6,1609,24,0,1,1200000.00,2021-02-01 16:17:52,0
6,1610,24,0,2,1000000.00,2021-02-01 16:17:52,0
6,1611,24,0,3,1000000.00,2021-02-01 16:17:52,0
9,1612,24,0,1,1400000.00,2021-02-01 16:17:52,0
9,1613,24,0,2,1100000.00,2021-02-01 16:17:52,0
9,1614,24,0,3,1100000.00,2021-02-01 16:17:52,0
10,1615,24,0,1,1400000.00,2021-02-01 16:17:52,0
10,1616,24,0,2,1000000.00,2021-02-01 16:17:52,0
10,1617,24,0,3,1000000.00,2021-02-01 16:17:52,0
11,1618,24,0,1,1400000.00,2021-02-01 16:17:52,0
11,1619,24,0,2,1000000.00,2021-02-01 16:17:52,0
11,1620,24,0,3,1000000.00,2021-02-01 16:17:52,0
12,1621,24,0,1,1400000.00,2021-02-01 16:17:52,0
12,1622,24,0,2,1000000.00,2021-02-01 16:17:52,0
12,1623,24,0,3,1000000.00,2021-02-01 16:17:52,0
13,1624,24,0,1,1400000.00,2021-02-01 16:17:52,0
13,1625,24,0,2,1000000.00,2021-02-01 16:17:52,0
13,1626,24,0,3,1000000.00,2021-02-01 16:17:52,0
14,1627,24,0,1,1400000.00,2021-02-01 16:17:52,0
14,1628,24,0,2,1000000.00,2021-02-01 16:17:52,0
14,1629,24,0,3,1000000.00,2021-02-01 16:17:52,0
15,1630,24,0,1,1400000.00,2021-02-01 16:17:52,0
15,1631,24,0,2,1000000.00,2021-02-01 16:17:52,0
15,1632,24,0,3,1000000.00,2021-02-01 16:17:52,0
16,1633,24,0,1,900000.00,2021-02-01 16:17:52,0
16,1634,24,0,2,900000.00,2021-02-01 16:17:52,0
16,1635,24,0,3,900000.00,2021-02-01 16:17:52,0
16,1636,24,0,4,900000.00,2021-02-01 16:17:52,0
17,1637,24,0,1,900000.00,2021-02-01 16:17:52,0
17,1638,24,0,2,900000.00,2021-02-01 16:17:52,0
17,1639,24,0,3,900000.00,2021-02-01 16:17:52,0
17,1640,24,0,4,900000.00,2021-02-01 16:17:52,0
18,1641,24,0,1,900000.00,2021-02-01 16:17:52,0
18,1642,24,0,2,900000.00,2021-02-01 16:17:52,0
18,1643,24,0,3,900000.00,2021-02-01 16:17:52,0
18,1644,24,0,4,900000.00,2021-02-01 16:17:52,0
19,1645,24,0,1,900000.00,2021-02-01 16:17:52,0
19,1646,24,0,2,900000.00,2021-02-01 16:17:52,0
19,1647,24,0,3,900000.00,2021-02-01 16:17:52,0
19,1648,24,0,4,900000.00,2021-02-01 16:17:52,0
20,1649,24,0,1,1200000.00,2021-02-01 16:17:52,0
20,1650,24,0,2,1000000.00,2021-02-01 16:17:52,0
20,1651,24,0,3,1000000.00,2021-02-01 16:17:52,0
21,1652,24,0,1,900000.00,2021-02-01 16:17:52,0
21,1653,24,0,2,900000.00,2021-02-01 16:17:52,0
21,1654,24,0,3,840000.00,2021-02-01 16:17:52,0
21,1655,24,0,4,840000.00,2021-02-01 16:17:52,0
